tray;pot;position;genotype;treatment
15;38;15_38;HE;#1+s14
15;39;15_39;Eyach;#1
15;4;15_4;Col0_acd6;#1
15;40;15_40;Tu-Wal_ics1;#2
15;41;15_41;Tu-Wal_acd6;#1
15;42;15_42;sid2-2;#1
15;43;15_43;Eyach;#3
15;44;15_44;Kus;#2
15;45;15_45;Tu-Wal_ics1;#3
15;46;15_46;Kus;#1
15;47;15_47;Tu-Wal;#1
15;48;15_48;Schl;Control
15;5;15_5;Schl;#2
15;6;15_6;Lu;#1
15;7;15_7;Tu-Wal_acd6;#3
15;8;15_8;Lu;#2
15;9;15_9;Col0;#3
16;1;16_1;Tu-Wal_acd6;#1
16;10;16_10;Tu-Wal_ics1;#1
16;11;16_11;HE;#3
16;12;16_12;Tu-Wal_acd6;#3
16;13;16_13;Eyach;#3
16;14;16_14;Tu-Wal_acd6;#2
16;15;16_15;Tu-Wal_ics1;Control
16;16;16_16;Eyach;Control
16;17;16_17;Lu;#1
16;18;16_18;HE;#1
16;19;16_19;Lu;#2
16;2;16_2;Schl;#3
16;20;16_20;Tu-Wal_acd6;Control
16;21;16_21;HE;#1+s13
16;22;16_22;Kus;#1
16;23;16_23;HE;#2
16;24;16_24;Lu;#3
16;25;16_25;Tu-Wal;#3
16;26;16_26;HE;Control
16;27;16_27;Schl;#1
16;28;16_28;Kus;#3
16;29;16_29;Kus;#2
16;3;16_3;Col0;Control
16;30;16_30;Kus;Control
16;31;16_31;sid2-2;Control
16;32;16_32;sid2-2;#3
16;33;16_33;Tu-Wal_ics1;#3
16;34;16_34;Tu-Wal;Control
16;35;16_35;Eyach;#1
16;36;16_36;Schl;Control
16;37;16_37;HE;#1+s17
16;38;16_38;HE;#1+s15
16;39;16_39;Lu;Control
16;4;16_4;Col0_acd6;#1
16;40;16_40;Tu-Wal;#1
16;41;16_41;Col0_acd6;#3
16;42;16_42;Col0;#1
16;43;16_43;Col0;#2
16;44;16_44;sid2-2;#2
16;45;16_45;Col0_acd6;Control
16;46;16_46;Tu-Wal_ics1;#2
16;47;16_47;Col0_acd6;#2
16;48;16_48;Col0;#3
16;5;16_5;Eyach;#2
16;6;16_6;Schl;#2
16;7;16_7;Tu-Wal;#2
16;8;16_8;sid2-2;#1
16;9;16_9;HE;#1+s14
17;1;17_1;Eyach;#2
17;10;17_10;Tu-Wal_acd6;#2
17;11;17_11;HE;#1+s14
17;12;17_12;Tu-Wal_ics1;Control
17;13;17_13;Tu-Wal;#2
17;14;17_14;Eyach;#1
17;15;17_15;Tu-Wal;#1
17;16;17_16;Tu-Wal_acd6;Control
17;17;17_17;HE;#1
17;18;17_18;HE;#1+s15
17;19;17_19;HE;#1+s17
17;2;17_2;Tu-Wal_acd6;#3
17;20;17_20;Col0;#3
17;21;17_21;Schl;Control
17;22;17_22;Tu-Wal_ics1;#1
17;23;17_23;Tu-Wal_acd6;#1
17;24;17_24;Kus;#2
17;25;17_25;Kus;#1
17;26;17_26;Col0_acd6;#3
17;27;17_27;Col0_acd6;Control
